canonical	count	symbol	root	quality	pitch_names	root_qual	chord_size
"001000001010"	4113	*	B-	major	B- major	D A- B-	3
"001101011001"	11	E-+M11/D	E-	augmented	E- augmented	D E- F G A- B	6
"000000001110"	35	*	A	other	A other	G# A A#	3
"101010001101"	29	AmM11/C	A	minor	A minor	C D E G# A B	6
"001010100100"	2990	DaddE	D	major	D major	D E F# A	4
"001001010010"	3866	Gm7/D	G	minor	G minor	D F G B-	4
"011010101101"	41	C#m7addA,F#,D	C#	minor	C# minor	C# D E F# G# A B	7
"101011011100"	14	D/o9/CaddG,A	D	other	D other	C D E F G A- A	7
"100011000010"	516	*	C	major	C major	C E F B-	4
"011010101001"	17	C#m7addF#,D	C#	minor	C# minor	C# D E F# G# B	6
"100000101001"	22	*	A-	other	A- other	C G- A- C-	4
"010011100011"	8	F#7/C#addE#,B	F#	major	F# major	C# E E# F# A# B	6
"110100101000"	37	A-7/CaddD-	A-	major	A- major	C D- E- G- A-	5
"001101000011"	9	B-/DaddE-,B	B-	major	B- major	D E- F B- B	5
"001010010101"	472	Em7/DaddA	E	minor	E minor	D E G A B	5
"100110100000"	70	CdimaddE	C	other	C other	C E- E G-	4
"001100001010"	389	*	B-	major	B- major	D E- A- B-	4
"000110000000"	987	*	F-	other	F- other	E- F-	2
"010011000001"	29	*	C#	other	C# other	C# E E# B	4
"011010110001"	20	C#/o11	C#	diminished	C# diminished	C# D E F# G B	6
"111000010100"	21	*	A	minor	A minor	C D- D G A	5
"100000110101"	88	F#dim/CaddG,B	F#	diminished	F# diminished	C F# G A B	5
"000101010110"	61	E-addA,F	E-	major	E- major	E- F G A B-	5
"101010010110"	34	Am7/CaddB-,D	A	minor	A minor	C D E G A B-	6
"000110001000"	434	*	F-	major	F- major	E- F- A-	3
"100010000011"	38	*	C	major	C major	C E B- B	4
"010010001101"	275	AM9/C#	A	major	A major	C# E G# A B	5
"001011000100"	1423	DmaddE	D	minor	D minor	D E F A	4
"101000101100"	54	Ddom7dim5/CaddA	D	other	D other	C D F# A- A	5
"110001001111"	7	B-m9/C-addA,C-	B-	minor	B- minor	C D- F A- A B- C-	7
"100000001110"	10	*	A-	major	A- major	C A- A B-	4
"000001000000"	56164	Fpedal	F	other	F other	F	1
"100101000001"	40	Fpower/C-addC-,E-	F	other	F other	C E- F C-	4
"110011011101"	7	GN6/CaddA,F-,F	G	other	G other	C D- F- F G A- A B	8
"000100101001"	331	A-m7/C-	A-	minor	A- minor	E- G- A- C-	4
"001000100001"	13504	Bm/D	B	minor	B minor	D F# B	3
"101100100001"	12	CdimaddD,B	C	diminished	C diminished	C D E- G- B	5
"010001101101"	14	F#mM11/C#	F#	minor	F# minor	C# E# F# G# A B	6
"011010000011"	19	A#dim/C#addD,B	A#	diminished	A# diminished	C# D E A# B	5
"010100000011"	11	BM9/C#	B	major	B major	C# D# A# B	4
"100111000010"	15	*	C	other	C other	C E- E F B-	5
"001010001101"	960	E7/DaddA	E	major	E major	D E G# A B	5
"001100100100"	369	DaddD#	D	major	D major	D D# F# A	4
"001010001001"	12413	E7/D	E	major	E major	D E G# B	4
"000100011100"	5	A-power/E-addG,A	A-	other	A- other	E- G A- A	4
"000000001001"	10068	*	G#	minor	G# minor	G# B	2
"000100011000"	1060	A-power/E-addG	A-	other	A- other	E- G A-	3
"101010000000"	2253	*	C	major	C major	C D E	3
"010011000101"	38	A/C#addE#,B	A	other	A other	C# E E# A B	5
"011010010110"	48	A7/C#addB-,D	A	major	A major	C# D E G A B-	6
"010010100100"	2200	F#m7/C#	F#	minor	F# minor	C# E F# A	4
"101001010011"	5	Gm7/CaddB	G	other	G other	C D F G B- B	6
"000100010101"	127	E-+addA	E-	augmented	E- augmented	E- G A B	4
"001000100011"	188	BmM7/D	B	minor	B minor	D F# A# B	4
"111000100000"	46	*	D	major	D major	C C# D F#	4
